Date,Sampling event,Pasture,Treat,Exclosure,Rep,F1T Crown Tillers,F2T Crown Tillers,F3T Crown Tillers,F1S Stolon Tillers,F2S Stolon Tillers,Total Stolon #,Total Tiller #,Total Length of stolon (cm),F1T CW Bud/core (0.007805m^2),F2T CW Bud/core (0.007805m^2),F3T CW Bud/core (0.007805m^2),Tot CW Buds/core (0.00785 cm^2),F1T ST Bud/core (0.007805m^2),F2T ST Bud/core (0.007805m^2),F3T ST Bud/core (0.007805m^2),Tot ST Buds (0.00785 cm^2),Grand total buds/core (0.00785 mc^2),F1T CW Bud/0.1m2,F2T CW Bud/0.1m2,F3T CW Bud/ (0.1m2),Tot CW Buds/0.1m2,F1T ST Bud/0.1m2,F2T ST Bud/0.1m2,F3T ST Bud/0.1^2,Tot ST Buds/0.1 m2,Grand total buds/0.1 m2,%CWB,%STB,%F1CWB,%F2CWB,%F3CWB,%F1STB,%F2STB,%combF1B,%comF2B,%comF3B,#F1CWT/0.1m2,#F2CWT/0.1m2,#F3CWT/0.1m2,# Tot CWT/0.1m2,#F1STT/0.1m2,#F2STT/0.1m2,# Tot STT/0.1m2,TotTIller/0.1m2,% of CWT,%of STT,%F1CWT,%F2CWT,%F3CWT,%F1STT,%F2STT,%combF1T,%comF2T,%comF3T,# Tot ST/0.1m2,totSTlg cm/0.1m2
 July 29,3,5,CG,2,2,15,7,,1,2,2,25,15,22.5,10.5,,33,0,0,,0,33,286.62,133.76,0,420.38,0,0,,0,420.38,100,0,68.18,31.82,0,,,68.18,31.82,0,191.08,89.17,0,280.25,12.74,25.48,38.22,318.47,88,12,68.18,31.82,0,33.33,66.67,64,36,0,25.48,191.08
 July 29,3,5,CG,3,3,21,6,,,,1,27,8,94.5,6,,100.5,,,,0,100.5,1203.82,76.43,0,1280.25,0,0,,0,1280.25,100,0,94.03,5.97,0,,,94.03,5.97,0,267.52,76.43,0,343.95,0,0,0,343.95,100,0,77.78,22.22,0,,,77.78,22.22,0,12.74,101.91
 July 29,3,5,CG,4,4,47,3,,,,,50,,94,1.5,,95.5,,,,0,95.5,1197.45,19.11,0,1216.56,0,0,,0,1216.56,100,0,98.43,1.57,0,,,98.43,1.57,0,598.73,38.22,0,636.94,0,0,0,636.94,100,0,94,6,0,,,94,6,0,0,0
 July 29,3,5,CG,5,5,25,6,,,,,31,,62.5,12,,74.5,,,,0,74.5,796.18,152.87,0,949.04,0,0,,0,949.04,100,0,83.89,16.11,0,,,83.89,16.11,0,318.47,76.43,0,394.9,0,0,0,394.9,100,0,80.65,19.35,0,,,80.65,19.35,0,0,0
 July 29,3,6,CG,1,1,26,6,,2,,4,34,21,78,0,,78,2,,,2,80,993.63,0,0,993.63,25.48,0,,25.48,1019.11,97.5,2.5,100,0,0,100,0,100,0,0,331.21,76.43,0,407.64,25.48,0,25.48,433.12,94.12,5.88,81.25,18.75,0,100,0,82.35,17.65,0,50.96,267.52
 July 29,3,6,CG,2,2,18,2,,1,2,1,20,5.8,18,2,,20,3,3,,6,26,229.3,25.48,0,254.78,38.22,3.82,,42.04,296.82,85.84,14.16,90,10,0,90.91,9.09,90.13,9.87,0,229.3,25.48,0,254.78,12.74,25.48,38.22,292.99,86.96,13.04,90,10,0,33.33,66.67,82.61,17.39,0,12.74,73.89
 July 29,3,6,CG,3,3,12,0,,1,,2,13,5.6,24,,,24,1,,,1,25,305.73,0,0,305.73,12.74,0,,12.74,318.47,96,4,100,0,0,100,0,100,0,0,152.87,0,0,152.87,12.74,0,12.74,165.61,92.31,7.69,100,0,0,100,0,100,0,0,25.48,71.34
 July 29,3,6,CG,4,4,15,12,,2,,2,29,7.7,52.5,12,,64.5,3,,,3,67.5,668.79,152.87,0,821.66,38.22,0,,38.22,859.87,95.56,4.44,81.4,18.6,0,100,0,82.22,17.78,0,191.08,152.87,0,343.95,25.48,0,25.48,369.43,93.1,6.9,55.56,44.44,0,100,0,58.62,41.38,0,25.48,98.09
 July 29,3,6,CG,5,5,15,7,,,,1,22,2.9,22.5,3.5,,26,,,,0,26,286.62,44.59,0,331.21,0,0,,0,331.21,100,0,86.54,13.46,0,,,86.54,13.46,0,191.08,89.17,0,280.25,0,0,0,280.25,100,0,68.18,31.82,0,,,68.18,31.82,0,12.74,36.94
 June 13,1,3,PBG,1,1,35,8,,3,,2,46,25.4,70,0,,70,1.5,,,1.5,71.5,891.72,0,0,891.72,19.11,0,,19.11,910.83,97.9,2.1,100,0,0,100,0,100,0,0,445.86,101.91,0,547.77,38.22,0,38.22,585.99,93.48,6.52,81.4,18.6,0,100,0,82.61,17.39,0,25.48,323.57
